Miasta,Województwo,Powiaty i miasta na prawach powiatu,Area in km²,Population,Search
Kozienice,mazowieckie,Kozienicki,10,15530,kozienice
Sulechów,lubuskie,Zielonogórski,7,15467,sulechow
Międzyrzec Podlaski,lubelskie,Bialski,20,15389,miedzyrzec%20podlaski
Rypin,kujawsko-pomorskie,Rypiński,11,15379,rypin
Gryfice,zachodniopomorskie,Gryficki,12,15343,gryfice
Krapkowice,opolskie,Krapkowicki,21,15282,krapkowice
Solec Kujawski,kujawsko-pomorskie,Bydgoski,19,15249,solec%20kujawski
Grodzisk Wielkopolski,wielkopolskie,Grodziski,18,15124,grodzisk%20wielkopolski
Jelcz-Laskowice,dolnośląskie,Oławski,17,15004,jelcz-laskowice
Radzymin,mazowieckie,Wołomiński,23,14962,radzymin
Strzegom,dolnośląskie,Świdnicki,21,14940,strzegom
Brwinów,mazowieckie,Pruszkowski,15,14568,brwinow
Świdwin,zachodniopomorskie,Świdwiński,22,14547,swidwin
Przeworsk,podkarpackie,Przeworski,22,14523,przeworsk
Mosina,wielkopolskie,Poznański,14,14501,mosina
Nisko,podkarpackie,Niżański,61,14477,nisko
Lidzbark Warmiński,warmińsko-mazurskie,Lidzbarski,14,14459,lidzbark%20warminski
Łapy,podlaskie,Białostocki,12,14436,lapy
Limanowa,małopolskie,Limanowski,19,14430,limanowa
Busko-Zdrój,świętokrzyskie,Buski,12,14365,busko-zdroj
Radzyń Podlaski,lubelskie,Radzyński,19,14293,radzyn%20podlaski
Ząbkowice Śląskie,dolnośląskie,Ząbkowicki,14,14240,zabkowice%20slaskie
Złotoryja,dolnośląskie,Złotoryjski,12,14168,zlotoryja
Boguszów-Gorce,dolnośląskie,Wałbrzyski,27,14166,boguszow-gorce
Dęblin,lubelskie,Rycki,38,14132,deblin
Jędrzejów,świętokrzyskie,Jędrzejowski,11,14029,jedrzejow
Choszczno,zachodniopomorskie,Choszczeński,10,13895,choszczno
Kartuzy,pomorskie,Kartuski,7,13796,kartuzy
Ustka,pomorskie,Słupski,11,13722,ustka
Chełmża,kujawsko-pomorskie,Toruński,8,13691,chelmza
Trzebnica,dolnośląskie,Trzebnicki,11,13655,trzebnica
Staszów,świętokrzyskie,Staszowski,27,13596,staszow
Ostrzeszów,wielkopolskie,Ostrzeszowski,12,13593,ostrzeszow
Nowy Tomyśl,wielkopolskie,Nowotomyski,5,13591,nowy%20tomysl
Kępno,wielkopolskie,Kępiński,8,13530,kepno
Skoczów,śląskie,Cieszyński,10,13423,skoczow
Siemiatycze,podlaskie,Siemiatycki,36,13391,siemiatycze
Lipno,kujawsko-pomorskie,Lipnowski,11,13380,lipno
Gołdap,warmińsko-mazurskie,Gołdapski,17,13184,goldap
Głowno,łódzkie,Zgierski,20,13116,glowno
Łęczyca,łódzkie,Łęczycki,9,13065,leczyca
Żnin,kujawsko-pomorskie,Żniński,8,13040,znin
Człuchów,pomorskie,Człuchowski,13,13031,czluchow
Pszów,śląskie,Wodzisławski,20,13007,pszow
Wschowa,lubuskie,Wschowski,9,12991,wschowa
Tuchola,kujawsko-pomorskie,Tucholski,18,12969,tuchola
Słupca,wielkopolskie,Słupecki,10,12952,slupca
Barlinek,zachodniopomorskie,Myśliborski,18,12935,barlinek
Wąbrzeźno,kujawsko-pomorskie,Wąbrzeski,9,12892,wabrzezno
Dębno,zachodniopomorskie,Myśliborski,19,12885,debno
Lubsko,lubuskie,Żarski,13,12858,lubsko
Wasilków,podlaskie,Białostocki,28,12768,wasilkow
Morąg,warmińsko-mazurskie,Ostródzki,6,12757,morag
Leżajsk,podkarpackie,Leżajski,20,12697,lezajsk
Nidzica,warmińsko-mazurskie,Nidzicki,7,12629,nidzica
Głuchołazy,opolskie,Nyski,7,12621,glucholazy
Brzeg Dolny,dolnośląskie,Wołowski,18,12536,brzeg%20dolny
Darłowo,zachodniopomorskie,Sławieński,20,12512,darlowo
Sędziszów Małopolski,podkarpackie,Ropczycko-sędziszowski,37,12368,sedziszow%20malopolski
Chojnów,dolnośląskie,Legnicki,5,12361,chojnow
Rabka-Zdrój,małopolskie,Nowotarski,37,12233,rabka-zdroj
Kłobuck,śląskie,Kłobucki,47,12220,klobuck
Błonie,mazowieckie,Warszawski zachodni,9,12172,blonie
Góra Kalwaria,mazowieckie,Piaseczyński,15,12129,gora%20kalwaria
Włodawa,lubelskie,Włodawski,18,12123,wlodawa
Koluszki,łódzkie,Łódzki wschodni,10,12046,koluszki
Złocieniec,zachodniopomorskie,Drawski,32,12046,zlocieniec
Wołów,dolnośląskie,Wołowski,19,12010,wolow
Brzeziny,łódzkie,Brzeziński,22,11949,brzeziny
Strzelin,dolnośląskie,Strzeliński,13,11936,strzelin
Wolsztyn,wielkopolskie,Wolsztyński,5,11935,wolsztyn
Warka,mazowieckie,Grójecki,26,11889,warka
Węgrów,mazowieckie,Węgrowski,36,11844,wegrow
Pyrzyce,zachodniopomorskie,Pyrzycki,39,11824,pyrzyce
Sławno,zachodniopomorskie,Sławieński,16,11777,slawno
Pasłęk,warmińsko-mazurskie,Elbląski,11,11728,paslek
Głubczyce,opolskie,Głubczycki,12,11651,glubczyce
Aleksandrów Kujawski,kujawsko-pomorskie,Aleksandrowski,7,11474,aleksandrow%20kujawski
Dąbrowa Tarnowska,małopolskie,Dąbrowski,23,11458,dabrowa%20tarnowska
Lubaczów,podkarpackie,Lubaczowski,26,11313,lubaczow
Golub-Dobrzyń,kujawsko-pomorskie,Golubsko-dobrzyński,8,11261,golub-dobrzyn
Drawsko Pomorskie,zachodniopomorskie,Drawski,22,11224,drawsko%20pomorskie
Siechnice,dolnośląskie,Wrocławski,16,10991,siechnice
Mogilno,kujawsko-pomorskie,Mogileński,8,10972,mogilno
Miechów,małopolskie,Miechowski,15,10918,miechow
Janów Lubelski,lubelskie,Janowski,15,10894,janow%20lubelski
Milicz,dolnośląskie,Milicki,14,10771,milicz
Rogoźno,wielkopolskie,Obornicki,11,10771,rogozno
Koronowo,kujawsko-pomorskie,Bydgoski,28,10743,koronowo
Góra,dolnośląskie,Górowski,14,10700,gora
Brzeszcze,małopolskie,Oświęcimski,19,10657,brzeszcze
Wisła,śląskie,Cieszyński,110,10637,wisla
Lubawa,warmińsko-mazurskie,Iławski,17,10633,lubawa
Głogów Małopolski,podkarpackie,Rzeszowski,38,10583,glogow%20malopolski
Węgorzewo,warmińsko-mazurskie,Węgorzewski,11,10563,wegorzewo
Szydłowiec,mazowieckie,Szydłowiecki,22,10556,szydlowiec
Szprotawa,lubuskie,Żagański,11,10554,szprotawa
Krosno Odrzańskie,lubuskie,Krośnieński,8,10533,krosno%20odrzanskie
Wronki,wielkopolskie,Szamotulski,6,10505,wronki
Puck,pomorskie,Pucki,17,10463,puck
Nowa Dęba,podkarpackie,Tarnobrzeski,17,10381,nowa%20deba
Myślibórz,zachodniopomorskie,Myśliborski,15,10353,mysliborz
Murowana Goślina,wielkopolskie,Poznański,9,10287,murowana%20goslina
Parczew,lubelskie,Parczewski,8,10185,parczew
Zdzieszowice,opolskie,Krapkowicki,12,10157,zdzieszowice
Ciechocinek,kujawsko-pomorskie,Aleksandrowski,15,10153,ciechocinek
Nowe Miasto Lubawskie,warmińsko-mazurskie,Nowomiejski,11,10089,nowe%20miasto%20lubawskie
Międzychód,wielkopolskie,Międzychodzki,7,9956,miedzychod
Syców,dolnośląskie,Oleśnicki,17,9938,sycow
Biskupiec,warmińsko-mazurskie,Olsztyński,5,9924,biskupiec
Czarnków,wielkopolskie,Czarnkowsko-trzcianecki,10,9916,czarnkow
Pobiedziska,wielkopolskie,Poznański,10,9891,pobiedziska
Kostrzyn,wielkopolskie,Poznański,8,9855,kostrzyn
Czersk,pomorskie,Chojnicki,10,9852,czersk
Kolno,podlaskie,Kolneński,25,9839,kolno
Kowary,dolnośląskie,Karkonoski,37,9745,kowary
Krzeszowice,małopolskie,Krakowski,17,9743,krzeszowice
Sulęcin,lubuskie,Sulęciński,9,9738,sulecin
Pińczów,świętokrzyskie,Pińczowski,14,9721,pinczow
Strzelce Krajeńskie,lubuskie,Strzelecko-drezdenecki,6,9705,strzelce%20krajenskie
Krynica-Zdrój,małopolskie,Nowosądecki,40,9597,krynica-zdroj
Środa Śląska,dolnośląskie,Średzki,15,9540,sroda%20slaska
Włoszczowa,świętokrzyskie,Włoszczowski,30,9520,wloszczowa
Łobez,zachodniopomorskie,Łobeski,13,9516,lobez
Nowy Dwór Gdański,pomorskie,Nowodworski,5,9471,nowy%20dwor%20gdanski
Bukowno,małopolskie,Olkuski,64,9467,bukowno
Drezdenko,lubuskie,Strzelecko-drezdenecki,11,9455,drezdenko
Mońki,podlaskie,Moniecki,8,9449,monki
Szubin,kujawsko-pomorskie,Nakielski,8,9402,szubin
Imielin,śląskie,Bieruńsko-lędziński,28,9398,imielin
Miastko,pomorskie,Bytowski,6,9395,miastko
Trzebiatów,zachodniopomorskie,Gryficki,10,9314,trzebiatow
Opalenica,wielkopolskie,Nowotomyski,6,9303,opalenica
